extract_ms,ocr_ms,chunk_ms,embed_ms,index_ms,total_ms
0.235900,0.013900,0.028500,10578.062800,15.693600,10594.034700
0.444300,0.011400,0.023200,22.273800,15.038100,37.790800
0.426100,0.009900,0.028300,22.804100,17.350200,40.618600
0.390400,0.015200,0.034700,24.515000,17.236800,42.192100
0.394500,0.014900,0.026600,24.791100,15.773000,41.000100
0.372800,0.007900,0.020700,22.155800,14.857600,37.414800
0.346900,0.009200,0.023400,20.888500,14.472500,35.740500
0.366400,0.010800,0.025600,22.764900,15.028300,38.196000
0.337300,0.012900,0.022600,22.173000,15.337100,37.882900
0.334900,0.008600,0.022200,19.988000,14.982100,35.335800
